,Pers.No.,department,Gender Key,Marital Status Key,No.ch,Age of employee,age_class,Certificate
0,AUCCAAIR,AE,Male,Single,0,29,25~30,Master
1,AUCECUSU,CC,Male,Marr.,0,35,30~40,Bachelor
2,AUCEIRLU,CC,Male,Marr.,0,31,30~40,Bachelor
3,AUCEAQEU,AE,Female,Marr.,1,35,30~40,Bachelor
4,AUCSASSA,CC,Male,Marr.,1,31,30~40,Master
5,AUCIEJRE,AE,Male,Marr.,1,28,25~30,Bachelor
6,AUCURRIC,CP,Female,Marr.,1,32,30~40,Bachelor
7,AUCULRJE,CC,Female,Marr.,1,33,30~40,Bachelor
8,AUCUQQLR,CC,Female,Marr.,1,31,30~40,Bachelor
9,AUCLULSQ,CC,Male,Marr.,2,38,30~40,College
10,AUCLQJSJ,CC,Male,Single,0,25,25~30,Master
11,AUCQUIQL,AED,Male,Marr.,1,31,30~40,Master
12,AUCJUCAJ,AE,Female,Marr.,0,27,25~30,Bachelor
13,AUECUISI,CC,Male,Single,0,34,30~40,Master
14,AUECAQIS,CP,Male,Single,0,32,30~40,Master
15,AUESRJQL,CC,Male,Marr.,1,37,30~40,College
16,AUEISEIS,CC,Male,Marr.,1,34,30~40,Bachelor
17,AUELJILI,CC,Male,Marr.,2,32,30~40,College
18,AACCECAL,AE,Male,Marr.,1,42,40~50,Bachelor
19,AACCEUIJ,CM,Female,Marr.,1,42,40~50,Bachelor
20,AACCQAIQ,AE,Male,Marr.,1,48,40~50,College
21,AACCQALU,CC,Male,Marr.,1,45,40~50,Bachelor
22,AACCQJSL,AE,Female,Marr.,1,44,40~50,Senior High School
23,AACCQJAE,AE,Male,Marr.,1,43,40~50,Technical School
24,AACCACCQ,AE,Male,Marr.,1,43,40~50,Technical School
25,AACCARRE,RBAC,Male,Marr.,1,56,>=50,College
26,AACCARQL,AE,Male,Marr.,1,42,40~50,Technical School
27,AACCARJI,AE,Male,Marr.,1,51,>=50,Technical School
28,AACCAUSS,AE,Male,Marr.,1,43,40~50,Technical School
29,AACCAUIR,RBAC,Male,Marr.,1,39,30~40,Technical School
30,AACCALAL,AE,Male,Marr.,1,41,40~50,Technical School
31,AACCALJU,RBAC,Female,Marr.,1,37,30~40,College
32,AACCAQCR,CC,Male,Marr.,1,49,40~50,College
33,AACCAACC,CC,Male,Marr.,1,37,30~40,College
34,AACCJCLC,CC,Female,Single,0,41,40~50,Master
35,AACCJECI,CP,Female,Marr.,0,44,40~50,College
36,AACCJEES,RBAC,Female,Marr.,2,40,40~50,Master
37,AACCJSUU,RBAC,Female,Marr.,1,49,40~50,College
38,AACCJSAR,CM,Female,Marr.,1,31,30~40,Technical School
39,AACCJIEQ,CM,Male,Marr.,2,35,30~40,Technical School
40,AACCJIII,CM,Female,Marr.,1,39,30~40,Senior High School
41,AACCJIUS,RBAC,Male,Marr.,1,56,>=50,Bachelor
42,AACCJILR,RBAC,Male,Marr.,1,40,40~50,Bachelor
43,AACCJLQL,AE,Female,Marr.,1,45,40~50,College
44,AACCJLJI,AE,Male,Marr.,1,51,>=50,Bachelor
